s,p,o
http://edukb.org/knowledge/0.1/class/physics#toujing-8a0f888cb592a946767e746503de0d80,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#tutoujingchengxiangdeguilu:-db08506fbf4d2eca827e165352279bdd,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wanyouyinlidinglu:-73210cbe604ae3975b923705ac949167,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wuligainian-69349d1a43e43812c7e35aa23ea44a5c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yaqiang-0ae18482b0ebd2b3831b62fbaba204fd,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yuanzihedezucheng-64686a598e0ef0385d55f12e295372bb,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yuanzijiegou-c8c68c463c33ad2c23f1274886242b9c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yundongheli-33c5e87d7d3a08b3d22434f226fb9e25,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#zaosheng-2516cbffb150f564c81352e0340700ea,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#zaoshengkongzhi-4d58c9debba97db5c65ffcea0bc2e121,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#zhiliangyumidu-7d07b6fddde48f7f5ba59805e39ab537,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#anpeiliyuluolunzili-09ee19fe9bd25191fb11eb8ac4f74984,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#biansuyundong-99e71e6d59e0be110b37f8c3adcf940c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#biansuzhixianyundong-084f944500f81c3fb20e8ea1b1f07774,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#cishengdian-4a711ad00e817d27d8ee04a757d7d032,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#cixianxianghecichang-f4fb5a12f450e8242c44d8e2040fc407,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#danli-a9d41826bcab50ab81008cd23b2b3062,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#daqiyaqiang-43f679cbf2f8274a069c03820a7c97b6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianchangdelidexingzhi-6e81eb62a9010fd86f49fbe4f8199a32,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianchangdenengdexingzhi-ee51e3882bf2286896c6e78f5662ad20,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianchangqiangdu-43eb8c007c05ad90de683aff6fafc58e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianchangxian-f74a75431aba241e249d18ea504bd712,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#diancibo-227b6cfaacdb641ec8fe495ba51b90c6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#diancixuedinglu:-4707dfc488c59b3b0d0daeb18866bd38,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#diancizhendang-8085ddf2a76533f0501cd8d2e23a8109,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianhe-005712df61f458ebd1719f3978a082c5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianheyucailiao-d2a7951533280d9868baf24054e4a416,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianliudeqiangruo-866a9c76b75c362c77180f5250523e2c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianneng-a3d7bb68c2da45b1c08ea742a315623d,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianrongqi-90db65c58522a15fac1ca2df04ed96bc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianshengci-8682e1b0c0bd9b4255447f93b1a09f59,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianzu-ca69770f5ac0181aa7efc6f1a0becd65,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dongliangdingli-011361488112f8c0d963d6debeef961b,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dongliangshouhengdinglu:-af70e1676364461710b8c012f3691502,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
