s,p,o
http://edukb.org/knowledge/0.1/category/math#135,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#137,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#138,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#14,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#140,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#141,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#144,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#146,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#147,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#148,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#149,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#152,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#156,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#157,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#158,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#161,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#162,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#163,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#164,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#169,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#17,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#170,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#174,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#175,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#176,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#178,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#18,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#182,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#183,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#187,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#188,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#19,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#193,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#194,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#195,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#197,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#198,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#21,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#211,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#221,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#222,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#224,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#226,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#236,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
